mjd, region, lo_mu, hi_mu, pixel_frac, light_frac, v_hat, v_phot, v_quiet, v_conv, mag_unsigned, avg_int, avg_int_flat
56662.998716435184,1,0.9,1.0,0.00040549035485857806,0.000100150755,-8.600477,2160.6455875225492,0.0,-5.924393,1562.3507,11780.282871056532,12085.98570444944

56662.998716435184,2,0.9,1.0,0.0007338834540188704,0.0006152206,-461.74878,222.64038450600074,0.0,-459.0727,601.1398,39983.95882077679,41039.690188491026

56662.998716435184,2.5,0.9,1.0,0.0017235271805602274,0.001464966,88.370125,208.23049926805754,0.0,91.04621,482.2796,40540.71790784558,41616.260644742564

56662.998716435184,3,0.9,1.0,0.000989643726541357,0.00084974593,486.65903,197.79753838723855,0.0,489.3351,396.2242,40953.61499089095,42043.82412700491

56662.998716435184,4,0.9,1.0,0.16366485324992405,0.19323057,-2.676084,0.0,-2.676084,0.0,5.201104,56312.193391725465,57404.41184212521

56662.998716435184,5,0.9,1.0,0.00929356763343878,0.010960748,128.93948,0.3884113584492701,0.0,131.61557,56.173386,56252.23501588944,57313.37524326277

56662.998716435184,6,0.9,1.0,0.010104805906370964,0.011925695,174.11853,0.0027895832634178305,0.0,176.79462,138.71053,56290.845272181956,57329.96861309448

56662.998716435184,7,0.9,1.0,0.006725404816397779,0.0077810176,124.39855,5.1743079790060005,0.0,127.07464,75.06513,55182.32534626923,56670.03757411156

